site,plataforma,item,produto_encontrado,score,url_produto
panan.com.br,desconhecida,U035 - Cuscuzeiro tipo hotel,Assadeira Perfurada 35x35 cm em Alumínio Imeca,0.552,https://www.panan.com.br/cozinha/utensilios/assadeira-perfurada-35x35-cm-em-aluminio-imeca
panan.com.br,desconhecida,U071 - Cuscuzeiro tipo hotel,Assadeira Perfurada 35x35 cm em Alumínio Imeca,0.552,https://www.panan.com.br/cozinha/utensilios/assadeira-perfurada-35x35-cm-em-aluminio-imeca
panan.com.br,desconhecida,U003 - Bacia plástica com capacidade aproximada de 50 litros,Mesa Plástica Tambaú Empilhavel Polipropileno Tramontina,0.531,https://www.panan.com.br/bar-hotel-e-restaurante/mesas-e-cadeiras/mesa-plastica-tambau-empilhavel-polipropileno-tramontina
panan.com.br,desconhecida,U004 - Bacia plástica com capacidade aproximada de 7 litros,Mesa Plástica Tambaú Empilhavel Polipropileno Tramontina,0.531,https://www.panan.com.br/bar-hotel-e-restaurante/mesas-e-cadeiras/mesa-plastica-tambau-empilhavel-polipropileno-tramontina
panan.com.br,desconhecida,U055 - Lixeira com capacidade aproximada de 50 litros,Lixeira Plástica 50L com Pedal - Marfinite Esse acabou :( Avise-me quando chegar,0.529,https://www.panan.com.br/utilidades/lixeiras/lixeira-plastica-50l-com-pedal-marfinite
panan.com.br,desconhecida,U057 - Panela de pressão com capacidade aproximada de 5 litros,"Panela de Pressão Alumínio 7,5L Doméstica ABC com Travas de Segurança",0.529,https://www.panan.com.br/utilidades/aluminios/panela-de-pressao-aluminio-7-5l-domestica-abc-com-travas-de-seguranca
panan.com.br,desconhecida,U060 - Panela de pressão industrial com capacidade aproximada de 25 litros,"Panela de Pressão Alumínio 7,5L Doméstica ABC com Travas de Segurança",0.529,https://www.panan.com.br/utilidades/aluminios/panela-de-pressao-aluminio-7-5l-domestica-abc-com-travas-de-seguranca
panan.com.br,desconhecida,U061 - Panela de pressão industrial com capacidade aproximada de 30 litros,"Panela de Pressão Alumínio 7,5L Doméstica ABC com Travas de Segurança",0.529,https://www.panan.com.br/utilidades/aluminios/panela-de-pressao-aluminio-7-5l-domestica-abc-com-travas-de-seguranca
panan.com.br,desconhecida,U062 - Panela de pressão industrial com capacidade aproximada de 35 a 40 litros,"Panela de Pressão Alumínio 7,5L Doméstica ABC com Travas de Segurança",0.529,https://www.panan.com.br/utilidades/aluminios/panela-de-pressao-aluminio-7-5l-domestica-abc-com-travas-de-seguranca
panan.com.br,desconhecida,U042 - Espremedor manual profissional para alho,Frigideira Profissional Antiaderente 40 cm em Alumínio ABC,0.522,https://www.panan.com.br/utilidades/aluminios/frigideira-profissional-antiaderente-40-cm-em-aluminio-abc
panan.com.br,desconhecida,U067 - Prato plástico confeccionado em polietileno (PE) atóxico,Tábua de Corte Profissional 50x30 cm Polietileno Antibacteriano Pronyl Branco,0.519,https://www.panan.com.br/acougue/placas-de-corte/placa-de-corte-com-canaleta-pronyl-60395
panan.com.br,desconhecida,U005 - Bacia plástica para alimentos com capacidade aproximada de 20 litros,Caixa Plástica 61L Branca - Bolivar,0.5,https://www.panan.com.br/utilidades/caixas-e-estrados/caixa-plastica-61l-bolivar
panan.com.br,desconhecida,U006 - Bacia plástica para alimentos com capacidade aproximada de 25 litros,Caixa Plástica 61L Branca - Bolivar,0.5,https://www.panan.com.br/utilidades/caixas-e-estrados/caixa-plastica-61l-bolivar
panan.com.br,desconhecida,U054 - Leiteira industrial tipo hotel,"Caçarola Alumínio a Vapor 17,2 L Industrial 36 cm Marca ABC",0.48,https://www.panan.com.br/utilidades/aluminios/cacarola-aluminio-a-vapor-17-2-l-industrial-36-cm-marca-abc
panan.com.br,desconhecida,U073 - Leiteira industrial tipo hotel,"Caçarola Alumínio a Vapor 17,2 L Industrial 36 cm Marca ABC",0.48,https://www.panan.com.br/utilidades/aluminios/cacarola-aluminio-a-vapor-17-2-l-industrial-36-cm-marca-abc
plasthouse.com.br,woocommerce,U044 - Faca profissional para legumes e frutas,Faca para Legumes – Mondial,0.6,https://plasthouse.com.br/produto/casa/cozinha/talheres/faca-para-legumes-mundial/
plasthouse.com.br,woocommerce,U055 - Lixeira com capacidade aproximada de 50 litros,Lixeira Basculante 50L,0.586,https://plasthouse.com.br/produto/lixeiras/lixeira-basculante-50l/
plasthouse.com.br,woocommerce,U003 - Bacia plástica com capacidade aproximada de 50 litros,Bacia Plástica 80L c/ Alça,0.574,https://plasthouse.com.br/produto/casa/lavanderia/bacias/bacia-plastica-80l-c-alca/
plasthouse.com.br,woocommerce,U004 - Bacia plástica com capacidade aproximada de 7 litros,Bacia Plástica 80L c/ Alça,0.574,https://plasthouse.com.br/produto/casa/lavanderia/bacias/bacia-plastica-80l-c-alca/
plasthouse.com.br,woocommerce,U005 - Bacia plástica para alimentos com capacidade aproximada de 20 litros,Bacia Plástica 80L c/ Alça,0.574,https://plasthouse.com.br/produto/casa/lavanderia/bacias/bacia-plastica-80l-c-alca/
plasthouse.com.br,woocommerce,U006 - Bacia plástica para alimentos com capacidade aproximada de 25 litros,Bacia Plástica 80L c/ Alça,0.574,https://plasthouse.com.br/produto/casa/lavanderia/bacias/bacia-plastica-80l-c-alca/
plasthouse.com.br,woocommerce,U066 - Porta papel-toalha de parede confeccionado em plástico de alta resistência (polipropileno,Dispenser Para Papel Toalha,0.565,https://plasthouse.com.br/produto/casa/banheiro/dispenser/dispenser-para-papel-toalha-goedert/
plasthouse.com.br,woocommerce,U041 - Espátula reta profissional confeccionada em aço inoxidável,Espátula Raspadora 12cm M – Hércules,0.505,https://plasthouse.com.br/produto/casa/espatula-raspadora-12cm-m-hercules/
plasthouse.com.br,woocommerce,U012 - Caixa organizadora tipo bandeja,Caixa Organizadora 20L com Trava – Plásticos MB,0.488,https://plasthouse.com.br/produto/casa/organizacao/caixa-organizadora-20l-com-trava-plasticos-mb/
plasthouse.com.br,woocommerce,U042 - Espremedor manual profissional para alho,Super Rodo c/ Espremedor,0.485,https://plasthouse.com.br/produto/casa/limpeza/super-rodo-c-espremedor/
platinox.com.br,tray,U053 - Kit de tábuas profissionais para corte de alimentos,Tábua Placa de Corte Polietileno PEAD 50x30cm 8mm Azul,0.682,https://www.platinox.com.br/utensilios/utensilios-para-cozinha/placas-de-polietileno/placa-de-polietileno-50x30-azul-claro-chef-work
platinox.com.br,tray,U055 - Lixeira com capacidade aproximada de 50 litros,Lixeira 50l Retangular C/ Pedal Azul - Lar Plasticos Esgotado :( Avise-me quando chegar Esgotado,0.638,https://www.platinox.com.br/restaurante-e-bar/lixeiras/50-litros/lixeira-50l-retangular-c-pedal-azul-plasticos-13239
platinox.com.br,tray,U029 - Copo medidor profissional com capacidade aproximada de 500 ml,Copo Medidor 500ml - ErcaPlast 2348,0.627,https://www.platinox.com.br/utensilios/copo-medidor-500ml-ercaplast-2348
