id_item,categoria,grupo_insumo,item_curto,descricao,termos_busca
U034,UTENSILIOS,CUSCUZEIRO,Cuscuzeiro tipo hotel,"Cuscuzeiro tipo hotel, com capacidade aproximada de 16 litros, confeccionado em alumínio de alta resistência, composto por panela, divisória perfurada e tampa em alumínio, com alças laterais reforçadas e acabamento liso para facilitar a higienização.","cuscuzeiro 16 l | cuscuzeiro aluminio | cuscuzeiro hotel, 16 | cuscuzeiro"
U035,UTENSILIOS,CUSCUZEIRO,Cuscuzeiro tipo hotel,"Cuscuzeiro tipo hotel, com capacidade aproximada de 20 litros, confeccionado em alumínio de alta resistência, composto por panela, divisória perfurada e tampa em alumínio, com alças laterais reforçadas e acabamento liso para facilitar a higienização","cuscuzeiro 20 l | cuscuzeiro aluminio | cuscuzeiro hotel, 20 | cuscuzeiro"
U071,UTENSILIOS,CUSCUZEIRO,Cuscuzeiro tipo hotel,"Cuscuzeiro tipo hotel, com capacidade aproximada de 5 litros, confeccionado em alumínio de alta resistência, composto por panela, divisória perfurada para cozimento a vapor e tampa em alumínio, com alças laterais reforçadas e acabamento liso para facilitar a higienização.","cuscuzeiro 5 l | cuscuzeiro aluminio | cuscuzeiro hotel, 5 | cuscuzeiro"
U036,UTENSILIOS,DESCASCADOR,Descascador manual profissional confeccionado em aço inoxidável,"Descascador manual profissional confeccionado em aço inoxidável, com comprimento aproximado de 16 cm, lâmina em aço inoxidável com corte preciso, estrutura resistente à corrosão, acabamento liso e design ergonômico para facilitar o manuseio",descascador 16 cm | descascador inox | descascador manual profissional | descascador
U037,UTENSILIOS,ESCORREDOR,Escorredor de macarrão industrial tipo hotel,"Escorredor de macarrão industrial tipo hotel, modelo nº 32, com capacidade aproximada de 10 litros, confeccionado em alumínio de alta resistência, com estrutura perfurada para drenagem eficiente, alças laterais reforçadas e acabamento liso para facilitar a higienização",escorredor 10 l | escorredor aluminio | escorredor macarrao industrial | escorredor
U038,UTENSILIOS,ESCORREDOR,Escorredor de macarrão industrial tipo hotel,"Escorredor de macarrão industrial tipo hotel, modelo nº 45, com capacidade aproximada de 20 litros, confeccionado em alumínio de alta resistência, com estrutura perfurada para drenagem eficiente, alças laterais reforçadas e acabamento liso para facilitar a higienização",escorredor 20 l | escorredor aluminio | escorredor macarrao industrial | escorredor
U039,UTENSILIOS,ESCORREDOR,Escorredor de macarrão industrial tipo hotel,"Escorredor de macarrão industrial tipo hotel, modelo nº 50, com capacidade aproximada de 30 litros, confeccionado em alumínio de alta resistência, com estrutura perfurada para drenagem eficiente, alças laterais reforçadas e acabamento liso para facilitar a higienização",escorredor 30 l | escorredor aluminio | escorredor macarrao industrial | escorredor
U080,UTENSILIOS,ESCOVA DE LIMPEZA,Kit de escovas para higienização de mamadeiras e bicos,"Kit de escovas para higienização de mamadeiras e bicos, composto por escova para limpeza de mamadeiras e limpador de bicos, com cerdas resistentes e macias e ponta em esponja para alcance de áreas de difícil acesso, cabo em polipropileno, ventosa de silicone para armazenamento em posição vertical, produto atóxico, livre de BPA e ftalatos, com aproximadamente 23 cm de comprimento.",escova limpeza 23 cm | escova limpeza polipropileno | kit escovas higienizacao | escova limpeza
U040,UTENSILIOS,ESCUMADEIRA,Escumadeira profissional grande,"Escumadeira profissional grande, confeccionada em aço inoxidável, com comprimento aproximado de 64 cm, cabo longo para manuseio seguro, estrutura resistente, acabamento liso e superfície perfurada para retirada e drenagem de alimentos","escumadeira 64 cm | escumadeira inox | escumadeira profissional grande, | escumadeira"
U041,UTENSILIOS,ESPATULA,Espátula reta profissional confeccionada em aço inoxidável,"Espátula reta profissional confeccionada em aço inoxidável, com lâmina de aproximadamente 12 cm, cabo anatômico e resistente, acabamento liso, estrutura durável e adequada para manipulação e preparo de alimentos",espatula 12 cm | espatula inox | espatula reta profissional | espatula
U042,UTENSILIOS,ESPREMEDOR,Espremedor manual profissional para alho,"Espremedor manual profissional para alho, confeccionado em alumínio fundido, com estrutura reforçada, resistente à corrosão e ao uso contínuo. Possui compartimento para trituração, design ergonômico e dimensões aproximadas de 15,4 × 2,9 × 4,1 cm, com fácil higienização",espremedor 4.1 cm | espremedor aluminio | espremedor manual profissional | espremedor
U043,UTENSILIOS,FACA,Faca profissional para carnes,"Faca profissional para carnes, confeccionada com lâmina em aço inoxidável, com comprimento total aproximado de 32,5 cm, fio de corte preciso e resistente. Possui cabo ergonômico em polietileno branco de alta resistência, com acabamento que facilita a higienização e adequada resistência ao uso contínuo","faca 32.5 cm | faca inox | faca profissional carnes, | faca"
U044,UTENSILIOS,FACA,Faca profissional para legumes e frutas,"Faca profissional para legumes e frutas, confeccionada com lâmina em aço inoxidável de aproximadamente 4 polegadas, com comprimento total aproximado de 19,5 cm, fio de corte preciso e resistente. Possui cabo ergonômico em polipropileno branco de alta resistência, com acabamento de fácil higienização e adequada para uso contínuo",faca 19.5 cm | faca inox | faca profissional legumes | faca
U045,UTENSILIOS,FACA,Faca profissional serrilhada para corte de pães,"Faca profissional serrilhada para corte de pães, bolos e produtos de panificação, confeccionada com lâmina em aço inoxidável de aproximadamente 8 polegadas (20,5 cm), com fio serrilhado para cortes uniformes. Possui cabo ergonômico em polipropileno branco de alta resistência, com acabamento resistente e de fácil higienização",faca 20.5 cm | faca inox | faca profissional serrilhada | faca
U046,UTENSILIOS,FACA,Faca profissional tipo chef para corte e preparo geral de alimentos,"Faca profissional tipo chef para corte e preparo geral de alimentos, confeccionada com lâmina em aço inoxidável de aproximadamente 10 polegadas, com tratamento térmico para maior resistência e durabilidade do fio de corte. Possui cabo ergonômico em polipropileno branco de alta resistência, proporcionando boa empunhadura, segurança no manuseio e fácil higienização",faca inox | faca profissional chef | faca
U047,UTENSILIOS,FRIGIDEIRA,Frigideira industrial modelo nº 40,"Frigideira industrial modelo nº 40, com capacidade aproximada de 7 litros, confeccionada em alumínio reforçado, com cabo em baquelite resistente ao calor, estrutura robusta, acabamento liso e adequada para preparo de alimentos",frigideira 7 l | frigideira aluminio | frigideira industrial no | frigideira
U048,UTENSILIOS,FRIGIDEIRA,Frigideira industrial modelo nº 45,"Frigideira industrial modelo nº 45, com capacidade aproximada de 9 litros, confeccionada em alumínio reforçado, com cabo em baquelite resistente ao calor, estrutura robusta, acabamento liso e adequada para preparo de alimentos",frigideira 9 l | frigideira aluminio | frigideira industrial no | frigideira
U049,UTENSILIOS,GARFO,Garfo plástico escolar confeccionado em polietileno (PE) atóxico,"Garfo plástico escolar confeccionado em polietileno (PE) atóxico, próprio para contato com alimentos, na cor azul, com comprimento aproximado de 5 cm, acabamento liso, resistente e de fácil higienização",garfo 5 cm | garfo plastico | garfo plastico escolar | garfo
U050,UTENSILIOS,GARFO,Garfo trinchante profissional tipo hotel,"Garfo trinchante profissional tipo hotel, modelo nº 45, com comprimento aproximado de 47 cm, confeccionado em alumínio de alta resistência, com estrutura reforçada, duas pontas para fixação e movimentação de alimentos e cabo longo para manuseio seguro",garfo 47 cm | garfo aluminio | garfo trinchante profissional | garfo
U051,UTENSILIOS,GARRAFA TERMICA,Garrafão térmico com capacidade aproximada de 20 litros,"Garrafão térmico com capacidade aproximada de 20 litros, confeccionado em polietileno de alta densidade (PEAD) ou material equivalente, com isolamento térmico, tampa rosqueável com vedação, alça para transporte e estrutura resistente. Preferencialmente na cor branca ou neutra",garrafa termica 20 l | garrafao termico 20 | garrafa termica
U072,UTENSILIOS,GARRAFA TERMICA,Garrafão térmico com capacidade aproximada de 9 litros,"Garrafão térmico com capacidade aproximada de 9 litros, confeccionado em polietileno de alta densidade (PEAD) ou material equivalente, com isolamento térmico em espuma de poliuretano ou sistema equivalente, tampa rosqueável com vedação eficiente, alça para transporte e estrutura resistente. Preferencialmente na cor branca ou neutra",garrafa termica 9 l | garrafao termico 9 | garrafa termica
U052,UTENSILIOS,JARRA,Jarra graduada com capacidade aproximada de 2 litros,"Jarra graduada com capacidade aproximada de 2 litros, confeccionada em polipropileno (PP) ou policarbonato (PC) atóxico, própria para contato com alimentos, na cor transparente, com escala de graduação de volume, alça para manuseio e superfície lisa de fácil higienização",jarra 2 l | jarra polipropileno | jarra graduada 2 | jarra
U054,UTENSILIOS,LEITEIRA,Leiteira industrial tipo hotel,"Leiteira industrial tipo hotel, com capacidade aproximada de 20 litros, confeccionada em alumínio de alta resistência, com acabamento liso, alças laterais reforçadas e estrutura adequada para aquecimento e preparo de líquidos","leiteira 20 l | leiteira aluminio | leiteira industrial hotel, | leiteira"
